Name,Description,Price,Image,Category,Engine size,Make,Stroke,Size,Brand,Gender
Honda 125cc 4 Stroke YZ Dirt Bike (DB-0001),Lightweight Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3336.23,https://picsum.photos/seed/mg1/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
Honda 125cc 4 Stroke CRF Dirt Bike (DB-0002),Race-Ready Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3061.17,https://picsum.photos/seed/mg2/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
Honda 125cc 2 Stroke TC Dirt Bike (DB-0003),Lightweight Honda 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,5194.25,https://picsum.photos/seed/mg3/800/800,Dirt Bikes,125cc,Honda,2 Stroke,,,
Honda 250cc 2 Stroke TC Dirt Bike (DB-0004),Powerful Honda 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,4166.23,https://picsum.photos/seed/mg4/800/800,Dirt Bikes,250cc,Honda,2 Stroke,,,
KTM 125cc 2 Stroke SX Dirt Bike (DB-0005),Well-Maintained KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3079.30,https://picsum.photos/seed/mg5/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
KTM 250cc 2 Stroke TE Dirt Bike (DB-0006),Trail-Tuned KTM 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,8337.69,https://picsum.photos/seed/mg6/800/800,Dirt Bikes,250cc,KTM,2 Stroke,,,
Honda 250cc 4 Stroke KX Dirt Bike (DB-0007),Lightweight Honda 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6726.43,https://picsum.photos/seed/mg7/800/800,Dirt Bikes,250cc,Honda,4 Stroke,,,
Honda 125cc 4 Stroke SX Dirt Bike (DB-0008),Lightweight Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7697.90,https://picsum.photos/seed/mg8/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
KTM 250cc 4 Stroke KX Dirt Bike (DB-0009),Freshly-Serviced KTM 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,4720.09,https://picsum.photos/seed/mg9/800/800,Dirt Bikes,250cc,KTM,4 Stroke,,,
KTM 125cc 2 Stroke EXC Dirt Bike (DB-0010),Lightweight KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3479.41,https://picsum.photos/seed/mg10/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
KTM 250cc 2 Stroke KX Dirt Bike (DB-0011),Race-Ready KTM 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3873.29,https://picsum.photos/seed/mg11/800/800,Dirt Bikes,250cc,KTM,2 Stroke,,,
KTM 125cc 4 Stroke RM Dirt Bike (DB-0012),Trail-Tuned KTM 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3764.90,https://picsum.photos/seed/mg12/800/800,Dirt Bikes,125cc,KTM,4 Stroke,,,
Honda 250cc 4 Stroke TC Dirt Bike (DB-0013),Track-Prepped Honda 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3356.23,https://picsum.photos/seed/mg13/800/800,Dirt Bikes,250cc,Honda,4 Stroke,,,
