Action,SKU,Title,Description,CategoryID,CategoryName,ConditionID,ConditionName,Price,Currency,Quantity,Brand,Size,Colour,MPN,UPC,ListingFormat,Duration,DispatchTimeMaxDays,ShippingService,ShippingCost,ReturnsAccepted,ReturnsWithin,RefundOption,ReturnShippingPaidBy,PictureURL1,PictureURL2,PictureURL3
Add,MOTOCROSS-0TVBDIVU,Husqvarna FC125 Motocross Bike (2012),Brand: Husqvarna | Category: Motocross Bikes | Condition: Used | Year: 2012 | Engine size: 125cc | Model: FC | Colour: Green | Fast dispatch from the UK. See photos for exact item shown.,33034,Motocross Bikes,3000,Used,1604.37,GBP,1,Husqvarna,,Green,ZZPQK51FPK,271333204190,FixedPrice,GTC,3,UK_StandardDelivery,2.99,ReturnsAccepted,Days_30,MoneyBack,Buyer,https://example.com/images/mx5.jpg,https://example.com/images/mx3.jpg,
Add,MOTOCROSS-5NQ4FMYZ,Husqvarna FC125 Motocross Bike (2012),Brand: Husqvarna | Category: Motocross Bikes | Condition: Used | Year: 2012 | Engine size: 125cc | Model: FC | Colour: Blue | Fast dispatch from the UK. See photos for exact item shown.,33034,Motocross Bikes,3000,Used,5943.41,GBP,1,Husqvarna,,Blue,YCWTIQJ7YH,370884095724,FixedPrice,GTC,1,UK_StandardDelivery,2.99,ReturnsAccepted,Days_30,MoneyBack,Buyer,https://example.com/images/mx4.jpg,https://example.com/images/mx2.jpg,https://example.com/images/mx5.jpg
Add,MOTOCROSS-9ER14FFY,Husqvarna SX-F350 Motocross Bike (2020),Brand: Husqvarna | Category: Motocross Bikes | Condition: Used | Year: 2020 | Engine size: 350cc | Model: SX-F | Colour: Camo | Fast dispatch from the UK. See photos for exact item shown.,33034,Motocross Bikes,3000,Used,3352.26,GBP,1,Husqvarna,,Camo,VNVQJT7YE5,773210779751,FixedPrice,GTC,2,UK_StandardDelivery,2.99,ReturnsAccepted,Days_30,MoneyBack,Buyer,https://example.com/images/mx3.jpg,https://example.com/images/mx2.jpg,https://example.com/images/mx1.jpg
Add,MOTOCROSS-93IIUC03,Suzuki RM-Z350 Motocross Bike (2012),Brand: Suzuki | Category: Motocross Bikes | Condition: Used | Year: 2012 | Engine size: 350cc | Model: RM-Z | Colour: Orange | Fast dispatch from the UK. See photos for exact item shown.,33034,Motocross Bikes,3000,Used,1772.37,GBP,1,Suzuki,,Orange,9TEX8FSV87,767363842005,FixedPrice,GTC,3,UK_StandardDelivery,0.0,ReturnsAccepted,Days_30,MoneyBack,Buyer,https://example.com/images/mx2.jpg,https://example.com/images/mx1.jpg,https://example.com/images/mx4.jpg
Add,MOTOCROSS-YHE7UR23,Yamaha MC125 Motocross Bike (2012),Brand: Yamaha | Category: Motocross Bikes | Condition: New | Year: 2012 | Engine size: 125cc | Model: MC | Colour: Orange | Fast dispatch from the UK. See photos for exact item shown.,33034,Motocross Bikes,1000,New,3928.03,GBP,1,Yamaha,,Orange,GDPPQ0Y9DO,382144229485,FixedPrice,GTC,1,UK_StandardDelivery,0.0,ReturnsAccepted,Days_30,MoneyBack,Buyer,https://example.com/images/mx5.jpg,,
Add,MOTOCROSS-FAO72KZ0,GasGas KX150 Motocross Bike (2014),Brand: GasGas | Category: Motocross Bikes | Condition: Used | Year: 2014 | Engine size: 150cc | Model: KX | Colour: Yellow | Fast dispatch from the UK. See photos for exact item shown.,33034,Motocross Bikes,3000,Used,5540.92,GBP,1,GasGas,,Yellow,2XRGHC0CLB,495058008495,FixedPrice,GTC,1,UK_StandardDelivery,4.99,ReturnsAccepted,Days_30,MoneyBack,Buyer,https://example.com/images/mx5.jpg,https://example.com/images/mx1.jpg,https://example.com/images/mx3.jpg
Add,MOTOCROSS-IOYKL1CQ,Husqvarna RM-Z350 Motocross Bike (2021),Brand: Husqvarna | Category: Motocross Bikes | Condition: Used | Year: 2021 | Engine size: 350cc | Model: RM-Z | Colour: Orange | Fast dispatch from the UK. See photos for exact item shown.,33034,Motocross Bikes,3000,Used,2476.96,GBP,1,Husqvarna,,Orange,99CHJ755NF,876960826911,FixedPrice,GTC,1,UK_StandardDelivery,3.49,ReturnsAccepted,Days_30,MoneyBack,Buyer,https://example.com/images/mx5.jpg,,
Add,MOTOCROSS-R64DPJA1,KTM FC350 Motocross Bike (2015),Brand: KTM | Category: Motocross Bikes | Condition: Used | Year: 2015 | Engine size: 350cc | Model: FC | Colour: Orange | Fast dispatch from the UK. See photos for exact item shown.,33034,Motocross Bikes,3000,Used,3336.8,GBP,1,KTM,,Orange,WJ0TPAC56T,851138788221,FixedPrice,GTC,1,UK_StandardDelivery,2.99,ReturnsAccepted,Days_30,MoneyBack,Buyer,https://example.com/images/mx4.jpg,https://example.com/images/mx2.jpg,https://example.com/images/mx1.jpg
Add,MOTOCROSS-0IFZNBQH,Kawasaki FC125 Motocross Bike (2014),Brand: Kawasaki | Category: Motocross Bikes | Condition: Used | Year: 2014 | Engine size: 125cc | Model: FC | Colour: Orange | Fast dispatch from the UK. See photos for exact item shown.,33034,Motocross Bikes,3000,Used,3235.51,GBP,1,Kawasaki,,Orange,7M35IXOKC1,356830825905,FixedPrice,GTC,3,UK_StandardDelivery,6.99,ReturnsAccepted,Days_30,MoneyBack,Buyer,https://example.com/images/mx3.jpg,https://example.com/images/mx4.jpg,
Add,MOTOCROSS-S3Y70HP8,Honda YZF300 Motocross Bike (2021),Brand: Honda | Category: Motocross Bikes | Condition: New | Year: 2021 | Engine size: 300cc | Model: YZF | Colour: Green | Fast dispatch from the UK. See photos for exact item shown.,33034,Motocross Bikes,1000,New,5116.35,GBP,1,Honda,,Green,7WXE6SYLZT,163715483276,FixedPrice,GTC,2,UK_StandardDelivery,2.99,ReturnsAccepted,Days_30,MoneyBack,Buyer,https://example.com/images/mx4.jpg,https://example.com/images/mx5.jpg,
